Alpha,10.0,5.0,1.25,0.625,0.3125,0.15625,0.078125,0.0390625,0.01953125,3.0517578125E-4
Chain,4.95,2.25,0.4,0.2,0.1,0.05,0.05,0.0,0.0,0.0
Open Addressing, 1.8, 3.4, 4.2, 0.35, 0.1, 0.0, 0.05, 0.0, 0.0, 0.0
